Provider	Provider Country	SKU	Developer	Title	Version	Product Type Identifier	Units	Developer Proceeds	Begin Date	End Date	Customer Currency	Country Code	Currency of Proceeds	Apple Identifier	Customer Price	Promo Code	Parent Identifier	Subscription	Period	Category
APPLE	US	MAG1755.1	PBL MEDIA PTY LTD.	Cosmopolitan Bride Magazine Australia	1.3.8	1F	1	0	04/24/2014	04/24/2014	EUR	FR	EUR	823254501	0	 	 	 	 	Lifestyle
APPLE	US	MAG1755.1	PBL MEDIA PTY LTD.	Cosmopolitan Bride Magazine Australia	1.3.8	1F	1	0	04/24/2014	04/24/2014	RUB	RU	RUB	823254501	0	 	 	 	 	Lifestyle
APPLE	US	au.com.acpmagazines.awwrecipes.thebigbookofbeautifulbiscuits	 	The Big Book of Beautiful Biscuits	 	IA1	1	6.36	04/24/2014	04/24/2014	AUD	AU	AUD	655405256	9.99	 	ACP_AWW_Recipes	 	 	Food & Drink
APPLE	US	SKU_Bauer_WeightWatchers	PBL MEDIA PTY LTD.	Weight Watchers Magazine Australia	1.0.12	7T	6	0	04/24/2014	04/24/2014	EUR	BE	EUR	646610584	0	 	 	 	 	Health & Fitness
APPLE	US	SKU_Bauer_WeightWatchers	PBL MEDIA PTY LTD.	Weight Watchers Magazine Australia	1.0.12	7T	1	0	04/24/2014	04/24/2014	EUR	LU	EUR	646610584	0	 	 	 	 	Health & Fitness
APPLE	US	SKU_Bauer_WeightWatchers	PBL MEDIA PTY LTD.	Weight Watchers Magazine Australia	1.0.12	7T	1	0	04/24/2014	04/24/2014	EUR	RO	EUR	646610584	0	 	 	 	 	Health & Fitness
APPLE	US	SKU_Bauer_WeightWatchers	PBL MEDIA PTY LTD.	Weight Watchers Magazine Australia	1.0.12	7T	7	0	04/24/2014	04/24/2014	CHF	CH	CHF	646610584	0	 	 	 	 	Health & Fitness
APPLE	US	SKU_Bauer_WeightWatchers	PBL MEDIA PTY LTD.	Weight Watchers Magazine Australia	1.0.12	7T	1	0	04/24/2014	04/24/2014	USD	EG	USD	646610584	0	 	 	 	 	Health & Fitness
APPLE	US	SKU_Bauer_WeightWatchers	PBL MEDIA PTY LTD.	Weight Watchers Magazine Australia	1.0.12	1T	1	0	04/24/2014	04/24/2014	EUR	LU	EUR	646610584	0	 	 	 	 	Health & Fitness
APPLE	US	ACPGT001	PBL MEDIA PTY LTD.	Gourmet Traveller	1.10.0	1T	6	0	04/24/2014	04/24/2014	USD	US	USD	374405599	0	 	 	 	 	Food & Drink
APPLE	US	com.magshop.okm.1419.1	 	OK! 1419	 	IA1	10	2.41	04/24/2014	04/24/2014	AUD	AU	AUD	797853868	3.79	 	MAG0001	 	 	Lifestyle
APPLE	US	GTRG2014	PBL MEDIA PTY LTD.	GT 2014 Restaurant Guide	1.2.5	1	1	0	04/24/2014	04/24/2014	EUR	BE	EUR	705700418	0	 	 	 	 	Food & Drink
APPLE	US	com.magshop.ns.zoo.months.1.1	 	ZOO Subscription_200_30	 	IAY	2	4.9	04/24/2014	04/24/2014	USD	US	USD	626544914	6.99	 	MAG0553	Renewal	1 Month	Entertainment
APPLE	US	MAG0553	PBL MEDIA PTY LTD.	ZOO Weekly Australia	1.3.5	1F	40	0	04/24/2014	04/24/2014	CNY	CN	CNY	622413964	0	 	 	 	 	Entertainment
APPLE	US	MAG0553	PBL MEDIA PTY LTD.	ZOO Weekly Australia	1.3.5	1F	3	0	04/24/2014	04/24/2014	USD	PH	USD	622413964	0	 	 	 	 	Entertainment
APPLE	US	MAG0553	PBL MEDIA PTY LTD.	ZOO Weekly Australia	1.3.5	1F	1	0	04/24/2014	04/24/2014	EUR	ES	EUR	622413964	0	 	 	 	 	Entertainment
APPLE	US	au.com.dow.monthlysub	 	Deals On Wheels_200_30	 	IAY	1	4.77	04/24/2014	04/24/2014	AUD	AU	AUD	550918429	7.49	 	SKUTRADER_DealsOnWheels	New	1 Month	News
APPLE	US	com.magshop.ns.gme.months.1.1	 	Good Health Subscription_200_30	 	IAY	3	0	04/24/2014	04/24/2014	AUD	AU	AUD	575094511	0	 	MAG0253	New	1 Month	Health & Fitness
APPLE	US	com.magshop.ns.zoo.1411.1	 	ZOO Weekly 1411	 	IA1	1	1.4	04/24/2014	04/24/2014	USD	US	USD	738259638	1.99	 	MAG0553	 	 	Entertainment
APPLE	US	com.magshop.ns.cos.months.1.1	 	Cosmopolitan Australia Subscription_200_30	 	IAY	3	2.54	04/24/2014	04/24/2014	AUD	AU	AUD	642292678	3.99	 	MAG0958	Renewal	1 Month	Lifestyle
APPLE	US	MAG0352	PBL MEDIA PTY LTD.	Money Magazine Australia	1.3.5	1F	3	0	04/24/2014	04/24/2014	USD	US	USD	574683215	0	 	 	 	 	Finance
APPLE	US	au.com.acpmagazines.awwrecipes.15minutemeals	 	15 Minute Meals	 	IA1	2	6.36	04/24/2014	04/24/2014	AUD	AU	AUD	737551588	9.99	 	ACP_AWW_Recipes	 	 	Food & Drink
APPLE	US	MAG0184	PBL MEDIA PTY LTD.	Dolly Magazine Australia	1.3.5	1F	65	0	04/24/2014	04/24/2014	AUD	AU	AUD	639967384	0	 	 	 	 	Lifestyle
APPLE	US	ACP016	PBL MEDIA PTY LTD.	QANTAS Magazine	1.3.0	1T	1	0	04/24/2014	04/24/2014	USD	PH	USD	501279725	0	 	 	 	 	Travel
APPLE	US	com.magshop.ns.mon.months.6.1	 	Money Subscription_500_180	 	IAY	2	13.99	04/24/2014	04/24/2014	AUD	AU	AUD	575093468	21.99	 	MAG0352	Renewal	6 Months	Finance
APPLE	US	com.magshop.ns.dol.1404.1	 	Dolly 1404	 	IA1	1	3.18	04/24/2014	04/24/2014	AUD	AU	AUD	643550463	4.99	 	MAG0184	 	 	Lifestyle
APPLE	US	com.magshop.ns.wdw.1415.1	 	Woman's Day 1415	 	IA1	1	1.9	04/24/2014	04/24/2014	AUD	AU	AUD	797236413	2.99	 	MAG0536	 	 	Entertainment
APPLE	US	MAG0256	PBL MEDIA PTY LTD.	Gourmet Traveller WINE Magazine	1.3.5	1F	1	0	04/24/2014	04/24/2014	GBP	GB	GBP	639981929	0	 	 	 	 	Lifestyle
APPLE	US	com.magshop.ns.wdw.months.2.1	 	Woman's Day Subscription_300_60	 	IAY	10	11.45	04/24/2014	04/24/2014	AUD	AU	AUD	547528606	17.99	 	MAG0536	Renewal	2 Months	Entertainment
APPLE	US	au.com.acpmagazines.aww.subscriptions.2months	 	AWW Paid Subscription_300_60	 	IAY	24	4.77	04/24/2014	04/24/2014	AUD	AU	AUD	471821181	7.49	 	ACP003	Renewal	2 Months	Entertainment
APPLE	US	com.magshop.ns.fbf.months.6.1	 	4x4 Magazine Australia Subscription_500_180	 	IAY	1	15.9	04/24/2014	04/24/2014	AUD	AU	AUD	642632757	24.99	 	MAG0004	Renewal	6 Months	Lifestyle
APPLE	US	au.com.bauermedia.wwmag.subscriptions.6mth	 	Weight Watchers Subscriptions_500_180	 	IAY	1	0	04/24/2014	04/24/2014	NZD	NZ	NZD	646627179	0	 	SKU_Bauer_WeightWatchers	New	6 Months	Health & Fitness
APPLE	US	MAG0958	PBL MEDIA PTY LTD.	Cosmopolitan Australia	1.4.0	7F	1	0	04/24/2014	04/24/2014	EUR	DE	EUR	639978764	0	 	 	 	 	Lifestyle
APPLE	US	au.com.acpmagazines.awwrecipes.subscriptions.1mth	 	The Australian Women’s Weekly Cookbooks Subscriptions_200_30	 	IAY	2	5.72	04/24/2014	04/24/2014	AUD	AU	AUD	617841288	8.99	 	ACP_AWW_Recipes	New	1 Month	Food & Drink
APPLE	US	au.com.acpmagazines.awwrecipes.subscriptions.1mth	 	The Australian Women’s Weekly Cookbooks Subscriptions_200_30	 	IAY	4	5.72	04/24/2014	04/24/2014	AUD	AU	AUD	617841288	8.99	 	ACP_AWW_Recipes	Renewal	1 Month	Food & Drink
APPLE	US	MAG1273	PBL MEDIA PTY LTD.	recipes+ Magazine	1.3.5	7F	2	0	04/24/2014	04/24/2014	NZD	NZ	NZD	574676839	0	 	 	 	 	Food & Drink
APPLE	US	ACPGT001	PBL MEDIA PTY LTD.	Gourmet Traveller	1.10.0	7T	52	0	04/24/2014	04/24/2014	AUD	AU	AUD	374405599	0	 	 	 	 	Food & Drink
APPLE	US	SKU_Bauer_WeightWatchers	PBL MEDIA PTY LTD.	Weight Watchers Magazine Australia	1.0.12	1T	2	0	04/24/2014	04/24/2014	NZD	NZ	NZD	646610584	0	 	 	 	 	Health & Fitness
APPLE	US	SKU_Bauer_WeightWatchers	PBL MEDIA PTY LTD.	Weight Watchers Magazine Australia	1.0.12	7T	53	0	04/24/2014	04/24/2014	NZD	NZ	NZD	646610584	0	 	 	 	 	Health & Fitness
APPLE	US	MAG0958	PBL MEDIA PTY LTD.	Cosmopolitan Australia	1.4.0	1F	47	0	04/24/2014	04/24/2014	NZD	NZ	NZD	639978764	0	 	 	 	 	Lifestyle
APPLE	US	MAG0449	PBL MEDIA PTY LTD.	Street Machine Magazine	1.3.5	1F	4	0	04/24/2014	04/24/2014	NZD	NZ	NZD	639978561	0	 	 	 	 	Lifestyle
APPLE	US	com.magshop.ns.clo.1404.1	 	CLO 1404	 	IA1	1	3.81	04/24/2014	04/24/2014	AUD	AU	AUD	827609914	5.99	 	MAG0132	 	 	Lifestyle
APPLE	US	au.com.bauermedia.australiangeographic.2013.07.issue	 	Aus Geo 2013.07 - July issue	 	IA1	1	6.36	04/24/2014	04/24/2014	AUD	AU	AUD	663124252	9.99	 	SKU_Bauer_Australian_Geographic	 	 	Education
APPLE	US	MAG0536	PBL MEDIA PTY LTD.	Woman's Day	1.3.5	7F	32	0	04/24/2014	04/24/2014	AUD	AU	AUD	547520978	0	 	 	 	 	Entertainment
APPLE	US	com.magshop.ns.zoo.1306.1	 	ZOO Weekly 1306	 	IA1	1	2.41	04/24/2014	04/24/2014	AUD	AU	AUD	622440194	3.79	 	MAG0553	 	 	Entertainment
APPLE	US	SKU_Bauer_Australian_Geographic	PBL MEDIA PTY LTD.	Australian Geographic Magazine	1.0.16	7T	1	0	04/24/2014	04/24/2014	GBP	GB	GBP	661038898	0	 	 	 	 	Education
APPLE	US	SKU_Bauer_Australian_Geographic	PBL MEDIA PTY LTD.	Australian Geographic Magazine	1.0.16	7T	1	0	04/24/2014	04/24/2014	EUR	FR	EUR	661038898	0	 	 	 	 	Education
APPLE	US	SKU_Bauer_Australian_Geographic	PBL MEDIA PTY LTD.	Australian Geographic Magazine	1.0.16	7T	1	0	04/24/2014	04/24/2014	TRY	TR	TRY	661038898	0	 	 	 	 	Education
APPLE	US	SKU_Bauer_Australian_Geographic	PBL MEDIA PTY LTD.	Australian Geographic Magazine	1.0.16	1T	1	0	04/24/2014	04/24/2014	TRY	TR	TRY	661038898	0	 	 	 	 	Education
APPLE	US	au.com.acpmagazines.gourmettraveller.subscriptions.1month	 	GT Paid Subscription_200_30	 	IAY	18	3.18	04/24/2014	04/24/2014	AUD	AU	AUD	471832348	4.99	 	ACPGT001	Renewal	1 Month	Food & Drink
APPLE	US	au.com.acpmagazines.gourmettraveller.subscriptions.3months	 	GT Paid Subscription_400_90	 	IAY	1	9.09	04/24/2014	04/24/2014	NZD	NZ	NZD	471832470	12.99	 	ACPGT001	Renewal	3 Months	Food & Drink
APPLE	US	com.magshop.ns.shp.months.12.1	 	Shop Til You Drop Subscription_600_365	 	IAY	1	31.81	04/24/2014	04/24/2014	AUD	AU	AUD	575094349	49.99	 	MAG0430	Renewal	1 Year	Lifestyle
APPLE	US	SKU_Bauer_Wheels	PBL MEDIA PTY LTD.	WHEELS AUSTRALIA MAGAZINE	1.0.10	7T	1	0	04/24/2014	04/24/2014	USD	NG	USD	617924139	0	 	 	 	 	Lifestyle
APPLE	US	MAG0001	PBL MEDIA PTY LTD.	Magshop	2.4.1	7F	1	0	04/24/2014	04/24/2014	GBP	GB	GBP	378036778	0	 	 	 	 	Lifestyle
